ts,symbol,exchange,kind,ltp,bid,ask,spread,volume,oi,open,high,low,prev_close
2026-08-05T15:33:06.119,NIFTY25AUG26FUT,NFO,future,24650.6,24650.6,24654.0,3.4,2906215,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:33:06.673,SENSEX27AUG26FUT,BFO,future,78830.05,78832.85,78880.0,47.15,23960,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:33:07.221,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:33:07.767,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:33:08.334,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:33:08.881,NIFTY25AUG26FUT,NFO,future,24646.0,24646.0,24654.0,8.0,2906475,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:33:09.433,SENSEX27AUG26FUT,BFO,future,78830.05,78834.75,78880.0,45.25,23960,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:33:09.973,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:33:10.535,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:33:11.072,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:33:11.624,NIFTY25AUG26FUT,NFO,future,24646.0,24646.3,24652.0,5.7,2906605,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:33:12.176,SENSEX27AUG26FUT,BFO,future,78889.5,78831.55,78888.65,57.1,24020,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:33:12.720,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:33:13.281,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:33:13.821,INDIAVIX,NSE_INDEX,spot,11.97,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:33:14.370,NIFTY25AUG26FUT,NFO,future,24646.0,24646.1,24652.0,5.9,2906605,12367420,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:33:14.922,SENSEX27AUG26FUT,BFO,future,78889.5,78826.7,78886.55,59.85,24020,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:33:15.474,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:33:16.022,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:33:16.571,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:33:17.160,NIFTY25AUG26FUT,NFO,future,24652.0,24646.1,24653.6,7.5,2906670,12367420,24715.0,24740.0,24565.0,24555.6
